9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9,
9, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 9,
9, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 9,
9, 3, 3, 9, 9, 9, 9, 9, 3, 3, 3, 3, 9, 9, 9, 9, 9, 3, 3, 9,
9, 3, 3, 9, 5, 6, 7, 12, 3, 3, 3, 3, 4, 5, 6, 7, 9, 3, 3, 9,
9, 3, 3, 4, 16, 17, 18, 12, 3, 3, 3, 3, 4, 16, 17, 18, 9, 3, 3, 9,
9, 3, 3, 9, 26, 27, 28, 9, 3, 3, 3, 3, 9, 26, 27, 28, 9, 3, 3, 9,
9, 3, 3, 9, 14, 14, 9, 9, 3, 3, 3, 3, 9, 9, 14, 14, 9, 3, 3, 9,
9, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 9,
9, 3, 3, 3, 3, 3, 3, 3, 3, 22, 22, 3, 3, 3, 3, 3, 3, 3, 3, 9,
9, 3, 3, 3, 3, 3, 3, 3, 3, 22, 22, 3, 3, 3, 3, 3, 3, 3, 3, 9,
9, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 9,
9, 3, 3, 9, 9, 9, 9, 9, 3, 3, 3, 3, 9, 9, 9, 9, 9, 3, 3, 9,
9, 3, 3, 9, 5, 6, 7, 12, 3, 3, 3, 3, 9, 5, 6, 7, 12, 3, 3, 9,
9, 3, 3, 9, 16, 17, 18, 12, 3, 3, 3, 3, 9, 16, 17, 18, 12, 3, 3, 9,
9, 3, 3, 9, 26, 27, 28, 9, 3, 3, 3, 3, 9, 26, 27, 28, 9, 3, 3, 9,
9, 3, 3, 9, 14, 14, 9, 9, 3, 3, 3, 3, 9, 14, 14, 9, 9, 3, 3, 9,
9, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 9,
9, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 9,
9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9,
